1_year_treasury_bill,10_year_treasury_constant_maturity,time_period,federal_funds
0.54,1.51,2016-08-12,0.4
0.53,1.57,2016-08-11,0.4
0.53,1.5,2016-08-10,0.4
0.53,1.55,2016-08-09,0.4
0.55,1.59,2016-08-08,0.4
,,2016-08-07,0.4
,,2016-08-06,0.4
0.54,1.59,2016-08-05,0.4
0.5,1.51,2016-08-04,0.4
0.51,1.55,2016-08-03,0.4
0.49,1.55,2016-08-02,0.4
0.49,1.51,2016-08-01,0.4
,,2016-07-31,0.3
,,2016-07-30,0.3
0.49,1.46,2016-07-29,0.3
0.52,1.52,2016-07-28,0.4
0.52,1.52,2016-07-27,0.4
0.54,1.57,2016-07-26,0.4
0.54,1.58,2016-07-25,0.4
,,2016-07-24,0.4
,,2016-07-23,0.4
0.54,1.57,2016-07-22,0.4
0.53,1.57,2016-07-21,0.4
0.55,1.59,2016-07-20,0.4
0.55,1.56,2016-07-19,0.4
0.5,1.59,2016-07-18,0.4
,,2016-07-17,0.4
,,2016-07-16,0.4
0.5,1.6,2016-07-15,0.4
0.51,1.53,2016-07-14,0.4
0.49,1.48,2016-07-13,0.4
0.5,1.53,2016-07-12,0.4
0.48,1.43,2016-07-11,0.4
,,2016-07-10,0.4
,,2016-07-09,0.4
0.46,1.37,2016-07-08,0.4
0.46,1.4,2016-07-07,0.4
0.45,1.38,2016-07-06,0.4
0.43,1.37,2016-07-05,0.4
-9999.0,-9999.0,2016-07-04,0.41
,,2016-07-03,0.41
,,2016-07-02,0.41
0.44,1.46,2016-07-01,0.41
0.44,1.49,2016-06-30,0.3
0.45,1.5,2016-06-29,0.41
0.44,1.46,2016-06-28,0.41
0.44,1.46,2016-06-27,0.41
,,2016-06-26,0.4
,,2016-06-25,0.4
0.47,1.57,2016-06-24,0.4
0.57,1.74,2016-06-23,0.39
0.55,1.69,2016-06-22,0.38
0.56,1.71,2016-06-21,0.38
0.54,1.67,2016-06-20,0.38
,,2016-06-19,0.38
,,2016-06-18,0.38
0.49,1.62,2016-06-17,0.38
0.5,1.57,2016-06-16,0.38
0.5,1.6,2016-06-15,0.37
0.53,1.62,2016-06-14,0.37
0.53,1.62,2016-06-13,0.37
,,2016-06-12,0.37
,,2016-06-11,0.37
0.55,1.64,2016-06-10,0.37
0.57,1.68,2016-06-09,0.37
0.58,1.71,2016-06-08,0.37
0.57,1.72,2016-06-07,0.37
0.58,1.73,2016-06-06,0.37
,,2016-06-05,0.37
,,2016-06-04,0.37
0.58,1.71,2016-06-03,0.37
0.66,1.81,2016-06-02,0.37
0.68,1.85,2016-06-01,0.37
0.66,1.84,2016-05-31,0.29
-9999.0,-9999.0,2016-05-30,0.37
,,2016-05-29,0.37
,,2016-05-28,0.37
0.67,1.85,2016-05-27,0.37
0.64,1.83,2016-05-26,0.37
0.66,1.87,2016-05-25,0.37
0.68,1.86,2016-05-24,0.37
0.65,1.84,2016-05-23,0.37
,,2016-05-22,0.37
,,2016-05-21,0.37
0.64,1.85,2016-05-20,0.37
0.61,1.85,2016-05-19,0.37
0.6,1.87,2016-05-18,0.37
0.55,1.76,2016-05-17,0.37
0.54,1.75,2016-05-16,0.37
,,2016-05-15,0.37
,,2016-05-14,0.37
0.53,1.71,2016-05-13,0.37
0.52,1.75,2016-05-12,0.37
0.51,1.73,2016-05-11,0.37
0.5,1.77,2016-05-10,0.37
0.49,1.77,2016-05-09,0.37
,,2016-05-08,0.37
,,2016-05-07,0.37
0.5,1.79,2016-05-06,0.37
